City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Saldanha,ZA,-33.0117,17.9442,56.71,81,53,7.99,broken clouds
250,Turan,VN,16.0678,108.2208,100.38,39,20,9.22,few clouds
251,Nyurba,RU,63.2842,118.3319,81.09,28,0,4.21,clear sky
252,Katangli,RU,51.7102,143.2326,51.55,89,100,14.83,overcast clouds
253,Isilkul,RU,54.9109,71.2728,72.16,62,100,5.06,overcast clouds
254,Ust-Nera,RU,64.5667,143.2,70.52,33,38,11.88,scattered clouds
255,Libourne,FR,44.9167,-0.25,58.57,96,97,3.87,overcast clouds
256,Sinnamary,GF,5.3833,-52.95,79.03,85,83,7.81,broken clouds
257,Erenhot,CN,43.6475,111.9767,68.72,37,0,14.63,clear sky
258,San Pedro,PH,14.35,121.0167,90.32,63,100,19.19,overcast clouds
259,Sena Madureira,BR,-9.0656,-68.6569,68.54,50,16,0.98,few clouds
260,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,25,0,18.41,clear sky
261,Benghazi,LY,32.1167,20.0667,81.25,67,0,8.61,clear sky
262,Kiama,AU,-34.6833,150.8667,70.38,75,55,1.99,light rain
263,Rio Grande,BR,-32.035,-52.0986,51.78,94,2,7.65,clear sky
264,Virginia Beach,US,36.8529,-75.978,77.02,85,75,0.0,broken clouds
265,Waitati,NZ,-45.75,170.5667,52.81,86,100,1.19,overcast clouds
266,Auki,SB,-8.7676,160.7034,80.74,76,100,6.62,light rain
267,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,89,97,10.29,overcast clouds
268,New Norfolk,AU,-42.7826,147.0587,53.1,67,38,5.99,scattered clouds
269,Guaymas,MX,27.9333,-110.9,90.88,51,0,7.67,clear sky
270,Cidreira,BR,-30.1811,-50.2056,56.08,87,100,12.62,overcast clouds
271,Tuktoyaktuk,CA,69.4541,-133.0374,57.11,75,100,11.5,overcast clouds
272,Sarandi,BR,-23.4436,-51.8739,53.47,58,99,5.3,overcast clouds
273,Juba,SS,4.8517,31.5825,67.75,97,98,1.77,overcast clouds
274,Normandin,CA,48.8333,-72.5321,51.37,76,65,5.28,broken clouds
275,Kendari,ID,-3.945,122.4989,81.46,81,95,1.9,light rain
276,Kamina,CD,-8.7386,24.9906,57.69,47,0,5.23,clear sky
277,Coahuayana,MX,18.7333,-103.6833,79.21,86,70,1.21,broken clouds
278,Arraial Do Cabo,BR,-22.9661,-42.0278,66.24,63,100,13.24,overcast clouds
279,Tigil,RU,57.8,158.6667,61.38,45,81,7.58,broken clouds
280,Sterling,US,39.0062,-77.4286,74.86,75,90,5.01,overcast clouds
281,Esfarayen,IR,37.0765,57.5101,72.32,18,23,5.41,few clouds
282,Gornopravdinsk,RU,60.05,69.9,63.28,68,34,8.3,scattered clouds
283,Christiana,ZA,-27.914,25.1611,41.29,55,0,3.56,clear sky
284,Chumphon,TH,10.3333,98.8333,82.38,90,100,9.44,overcast clouds
285,San Cristobal,VE,7.7669,-72.225,66.4,97,93,5.35,overcast clouds
286,Tecpan,GT,14.7623,-90.9947,56.52,98,46,5.26,scattered clouds
287,Saint-Augustin,CA,51.226,-58.6502,55.74,86,100,14.29,overcast clouds
288,Storforshei,NO,66.4043,14.5233,47.66,89,100,4.85,overcast clouds
289,Kadhan,PK,24.481,68.9859,84.2,72,100,26.42,overcast clouds
290,Penzance,GB,50.1186,-5.5371,60.01,94,99,10.27,overcast clouds
291,Lincoln,US,40.8,-96.667,75.11,86,1,3.44,haze
292,Anadyr,RU,64.75,177.4833,50.5,61,75,2.24,broken clouds
293,Gannan,CN,47.9147,123.5031,64.89,80,98,13.89,overcast clouds
294,Aswan,EG,24.0934,32.907,86.04,21,86,2.24,overcast clouds
295,Parchim,DE,53.4263,11.8488,59.67,93,94,10.31,overcast clouds
296,Sabang,ID,5.8933,95.3214,82.9,73,100,24.7,overcast clouds
297,Moen,NO,69.1304,18.6123,45.45,87,90,3.44,overcast clouds
298,Shambu,ET,9.5667,37.1,50.0,96,100,0.65,overcast clouds
299,Nouadhibou,MR,20.931,-17.0347,68.97,93,7,14.36,clear sky
300,Sumbe,AO,-11.2061,13.8437,69.1,93,16,1.07,few clouds
301,Ugoofaaru,MV,5.6667,73.0,82.78,74,28,10.11,scattered clouds
302,Jizan,SA,17.3333,42.6667,85.57,67,60,5.86,broken clouds
303,Aklavik,CA,68.2191,-135.0107,80.78,35,49,11.54,scattered clouds
304,Jacareacanga,BR,-6.2222,-57.7528,75.11,52,100,0.34,overcast clouds
305,Malanje,AO,-9.5402,16.341,61.34,36,0,3.18,clear sky
306,Port Hedland,AU,-20.3167,118.5667,77.05,27,2,12.66,clear sky
307,Geraldton,AU,-28.7667,114.6,64.81,63,75,27.63,broken clouds
308,Manakara,MG,-22.1333,48.0167,64.27,82,93,1.41,light rain
309,Kenora,CA,49.8167,-94.4337,60.8,49,10,5.23,clear sky
310,Nizhniy Kuranakh,RU,58.8353,125.4869,66.96,46,100,12.59,overcast clouds
311,Port Hardy,CA,50.6996,-127.4199,63.3,80,6,11.34,clear sky
312,Gorontalo,ID,0.5412,123.0595,88.7,60,39,4.54,scattered clouds
313,Santa Fe,AR,-31.6333,-60.7,55.0,52,0,1.01,clear sky
314,Huilong,CN,31.8111,121.655,80.2,91,100,5.41,overcast clouds
